dataset,method,protocol,budget,seed,fault_type,exact_fault_recall,binary_precision,binary_recall,binary_f1,binary_fpr,binary_specificity,binary_event_recall,binary_mean_detection_delay,binary_median_detection_delay,binary_false_alarm_events,binary_false_alarms_per_1000,binary_n_events
tep,Threshold,fixed_full_data,0.5,42,18,0.765904365904366,0.9849561220225658,0.98004158004158,0.9824927052938724,0.37894736842105264,0.6210526315789474,1.0,0.8,0.0,14.0,5.6,5.0
tep,Threshold,fixed_full_data,0.5,42,19,0.6760914760914761,0.9838174273858921,0.9858627858627859,0.9848390446521288,0.4105263157894737,0.5894736842105263,1.0,0.0,0.0,12.0,4.8,5.0
tep,Threshold,fixed_full_data,0.5,42,20,0.7542619542619543,0.9793131981795614,0.9841995841995842,0.981750311074243,0.5263157894736842,0.47368421052631576,1.0,0.2,0.0,7.0,2.8,5.0
tep,Uniform,method_retrained,0.5,42,1,0.9783783783783784,0.9958368026644463,0.9945945945945946,0.9952153110047847,0.10526315789473684,0.8947368421052632,1.0,1.0,0.0,4.0,1.6,5.0
tep,Uniform,method_retrained,0.5,42,2,0.9708939708939709,0.9932829554995802,0.9837837837837838,0.9885105494046376,0.16842105263157894,0.8315789473684211,1.0,2.8,2.0,6.0,2.4,5.0
tep,Uniform,method_retrained,0.5,42,3,0.17006237006237007,0.993142144638404,0.6623700623700624,0.7947118982289848,0.11578947368421053,0.8842105263157894,1.0,5.0,1.0,6.0,2.4,5.0
tep,Uniform,method_retrained,0.5,42,4,0.9746361746361747,0.9975062344139651,0.997920997920998,0.9977135730617335,0.06315789473684211,0.9368421052631579,1.0,1.0,1.0,3.0,1.2,5.0
tep,Uniform,method_retrained,0.5,42,5,0.7588357588357588,0.9955888839876489,0.9384615384615385,0.966181506849315,0.10526315789473684,0.8947368421052632,1.0,1.2,2.0,5.0,2.0,5.0
tep,Uniform,method_retrained,0.5,42,6,0.9975051975051975,0.9966804979253112,0.9987525987525988,0.9977154724818276,0.08421052631578947,0.9157894736842105,1.0,0.6,1.0,3.0,1.2,5.0
tep,Uniform,method_retrained,0.5,42,7,0.995010395010395,0.9950289975144988,0.9987525987525988,0.9968873210209587,0.12631578947368421,0.8736842105263158,1.0,0.6,1.0,6.0,2.4,5.0
tep,Uniform,method_retrained,0.5,42,8,0.812058212058212,0.9953111679454391,0.9708939708939709,0.9829509576931172,0.11578947368421053,0.8842105263157894,1.0,3.2,5.0,2.0,0.8,5.0
tep,Uniform,method_retrained,0.5,42,9,0.1521829521829522,0.992467043314501,0.6573804573804574,0.7908954477238619,0.12631578947368421,0.8736842105263158,1.0,2.2,2.0,6.0,2.4,5.0
tep,Uniform,method_retrained,0.5,42,10,0.6515592515592515,0.9986636971046771,0.9322245322245323,0.9643010752688173,0.031578947368421054,0.968421052631579,1.0,0.8,1.0,3.0,1.2,5.0
tep,Uniform,method_retrained,0.5,42,11,0.6893970893970894,0.9945872801082544,0.9168399168399168,0.9541324102120294,0.12631578947368421,0.8736842105263158,1.0,5.6,6.0,5.0,2.0,5.0
tep,Uniform,method_retrained,0.5,42,12,0.7758835758835759,0.994964330675619,0.9858627858627859,0.9903926482873852,0.12631578947368421,0.8736842105263158,1.0,1.6,1.0,4.0,1.6,5.0
