dataset,method,protocol,budget,seed,requested_budget,weighted_f1,macro_f1,macro_precision,macro_recall,rmse,mae,nrmse_mean,available_values,transmitted_values,transmitted_payload_bytes,payload_bytes_per_value,realized_bandwidth,budget_excess,max_window_budget_excess,max_window_excess_values,n_windows,elapsed_s,binary_precision,binary_recall,binary_f1,binary_fpr,binary_specificity,binary_event_recall,binary_mean_detection_delay,binary_median_detection_delay,binary_false_alarm_events,binary_false_alarms_per_1000,binary_n_events,binary_detected_events,binary_missed_events
tep,PCA-Triage,method_retrained,0.5,1024,0.5,0.6791868463824577,0.6878790021102829,0.7026603776010709,0.6804043254043256,0.2707700618247437,0.10440044896652292,0.026899938921382073,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,8.437864125000488,0.962746708700575,0.9015592515592515,0.9311488786060144,0.38136363636363635,0.6186363636363637,1.0,2.85,1.0,386.0,7.352380952380952,100.0,100.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,1024,0.5,0.6669849081200782,0.6776826464944177,0.6862923517876902,0.68747875997876,0.2707700618247437,0.10440044896652292,0.026899938921382073,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,8.68848437500128,0.9384288325518557,0.981975051975052,0.9597082249674902,0.7043181818181818,0.29568181818181816,1.0,0.28,0.0,414.0,7.885714285714286,100.0,100.0,0.0
tep,Variance,method_retrained,0.5,1024,0.5,0.6772314999931798,0.6862285244780101,0.7008020267537838,0.6783924633924633,0.2608367951489682,0.09845332543848896,0.025475015424159864,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,8.944649292003305,0.9614983236005951,0.9002702702702703,0.9298774922962947,0.3940909090909091,0.605909090909091,1.0,2.82,1.0,386.0,7.352380952380952,100.0,100.0,0.0
tep,Variance,fixed_full_data,0.5,1024,0.5,0.6716870209227745,0.6830308183344715,0.691011427635091,0.6939956664956665,0.2608367951489682,0.09845332543848896,0.025475015424159864,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,9.161675667004602,0.9376452593313601,0.9813305613305613,0.9589906644589145,0.7134090909090909,0.2865909090909091,1.0,0.28,0.0,399.0,7.6,100.0,100.0,0.0
tep,Threshold,method_retrained,0.5,1024,0.5,0.645130256267302,0.653209415880127,0.6668095797600998,0.6492493092493092,0.3820469718966522,0.1382083326293811,0.038207413144711176,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,6.676763834002486,0.9633400302489898,0.8872141372141372,0.923711295576792,0.3690909090909091,0.6309090909090909,1.0,4.35,2.0,318.0,6.057142857142857,100.0,100.0,0.0
tep,Threshold,fixed_full_data,0.5,1024,0.5,0.6401332587871144,0.650068884607816,0.6625532083445387,0.6628051003051004,0.3820469718966522,0.1382083326293811,0.038207413144711176,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,6.896186625002883,0.9376499276382309,0.9832848232848233,0.9599253102769406,0.7147727272727272,0.2852272727272727,1.0,0.28,0.0,397.0,7.561904761904762,100.0,100.0,0.0
tep,Uniform,method_retrained,0.5,1024,0.5,0.7087290350844129,0.7178595706687895,0.7332523486365738,0.7100648675648676,0.48341831798423857,0.17544370806419973,0.03633828064366631,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,9.009470791002968,0.961737422241624,0.9160498960498961,0.9383378587020178,0.39840909090909093,0.6015909090909091,1.0,1.68,1.0,499.0,9.504761904761905,100.0,100.0,0.0
tep,Uniform,fixed_full_data,0.5,1024,0.5,0.6834971259482533,0.695309877651845,0.7082030574356202,0.699499711999712,0.48341831798423857,0.17544370806419973,0.03633828064366631,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,9.254308375006076,0.9385086087947687,0.9757172557172558,0.9567513021496937,0.6988636363636364,0.30113636363636365,1.0,0.28,0.0,444.0,8.457142857142857,100.0,100.0,0.0
tep,Full Data,method_retrained,1.0,1024,0.5,0.7297074285086547,0.7419879477618446,0.7524080629543989,0.7395054945054946,0.0,0.0,0.0,2730000,2730000,10920000,4,1.0,0.0,0.0,0,1050,7.186277207998501,0.9419548448168215,0.9723284823284823,0.9569006966680648,0.655,0.345,1.0,0.83,0.0,528.0,10.057142857142857,100.0,100.0,0.0
tep,Full Data,fixed_full_data,1.0,1024,0.5,0.7297074285086547,0.7419879477618446,0.7524080629543989,0.7395054945054946,0.0,0.0,0.0,2730000,2730000,10920000,4,1.0,0.0,0.0,0,1050,7.434694040995964,0.9419548448168215,0.9723284823284823,0.9569006966680648,0.655,0.345,1.0,0.83,0.0,528.0,10.057142857142857,100.0,100.0,0.0
